run,rco_yield_ns,function_call_ns,sched_yield_ns,sink
1,35.141,1.638,229.449,16132902951485109480
2,35.406,1.643,227.847,16132902951485109480
3,35.122,1.648,227.739,16132902951485109480
4,35.092,1.636,227.739,16132902951485109480
5,35.340,1.639,228.330,16132902951485109480
