mode,run,bits_per_second
direct,1,73710407529.96638
coroutine,1,24471297387.974205
epoll,1,23946275563.911392
direct,2,73835873214.35072
coroutine,2,24848466867.00626
epoll,2,25036750334.177147
direct,3,75391423735.06914
coroutine,3,24903963024.049793
epoll,3,25006584526.218773
direct,4,74597985834.0638
coroutine,4,25057714098.466698
epoll,4,25167116066.333996
direct,5,74092673550.50928
coroutine,5,25022952138.066406
epoll,5,24851583004.43007
