mode,run,backend_identity,binary_sha256,vm_peak_kb,vm_hwm_kb,user_ticks,system_ticks,voluntary_context_switches,nonvoluntary_context_switches
coroutine-sysv,1,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,4928,2044,2,399,18,24
cacs,1,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,4928,2064,2,398,18,35
cacs-preserve-none,1,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,4928,2076,1,399,18,27
epoll,1,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,3092,1964,3,396,19,27
coroutine-sysv,2,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,4928,2080,2,398,18,25
cacs,2,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,4928,2072,2,398,18,29
cacs-preserve-none,2,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,4928,2088,2,398,17,31
epoll,2,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,3092,1932,3,396,19,31
cacs,3,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,4928,2160,2,399,18,25
cacs-preserve-none,3,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,4928,2220,3,398,18,26
epoll,3,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,3092,1844,2,398,18,24
coroutine-sysv,3,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,4928,2076,3,398,18,19
cacs-preserve-none,4,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,4928,2064,2,399,18,24
epoll,4,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,3092,1844,2,397,18,33
coroutine-sysv,4,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,4928,2084,3,398,18,25
cacs,4,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,4928,2084,2,399,18,29
epoll,5,epoll,a88e4a727808b40460d7228beba86e9fbdb4aef47d27b4f5d0e564eb060ab63f,3092,1988,2,398,18,31
coroutine-sysv,5,coroutine-sysv,49cef6f8ba39e3858c6114080a2b02a245018eefeed85ed92fdd5817d93f328a,4928,2216,1,398,18,20
cacs,5,cacs,2d6e134117beacc7dd8a3d3051ddb113a12afddfe6975a8770de85a21f8aa9be,4928,2160,2,398,18,31
cacs-preserve-none,5,cacs-preserve-none,edcc9de1c25d73e8890bcc11f3465fc5171dc52ef2ffb82f78ede9140519d34a,4928,2084,3,397,17,28
