mode,run,bits_per_second
direct,1,74140423991.78804
direct,2,77943629003.47357
direct,3,77138700515.0468
direct,4,75328340891.18257
direct,5,74821144713.4536
proxy,1,26483507145.306046
proxy,2,24886619073.598404
proxy,3,25900662910.298347
proxy,4,26906171488.097115
proxy,5,27077097068.292767
